datetime,Bmag,Bx,By,Bz,Proton_speed_x,Proton_speed_y,Proton_speed_z,Proton_speed,Proton_density,Proton_temp,SYM_H
2014-02-15 00:05:00,4.927789473684211,0.14478947368421052,4.456736842105263,1.7703157894736843,-346.781,-14.722399999999999,-17.8002,347.594,,32767.46,1
2014-02-15 00:10:00,4.874055555555556,0.10088888888888888,3.7305,-2.9203888888888887,-345.228,19.132,-22.077749999999998,346.735,,52367.725,2
2014-02-15 00:15:00,4.694842105263158,-0.5781052631578948,4.174842105263158,-1.2601052631578948,-344.40575,15.74225,-21.61825,345.7325,,55639.8,1
2014-02-15 00:20:00,4.178789473684211,-1.6759473684210526,2.4609473684210528,2.273263157894737,-342.1124,7.899799999999999,-26.4478,343.34,,59954.219999999994,1
2014-02-15 00:25:00,4.192263157894737,-0.711578947368421,4.014052631578947,-0.7854736842105263,-347.13175,13.7845,-21.212,348.175,,56371.675,1
2014-02-15 00:30:00,4.292055555555556,-1.1892222222222222,3.943166666666667,-0.9696111111111111,-346.9886,11.590399999999999,-21.636400000000002,348.054,,55927.119999999995,0
2014-02-15 00:35:00,3.9612631578947366,-1.4727894736842106,3.4164736842105263,-0.42557894736842106,-346.2534,8.321200000000001,-21.2214,347.11800000000005,,60073.04,0
2014-02-15 00:40:00,4.190736842105263,-0.2485263157894737,4.0611578947368425,-0.8593684210526316,-346.0844,9.1414,-19.2482,346.84000000000003,,55143.52,0
2014-02-15 00:45:00,4.18221052631579,0.6440526315789473,3.7401578947368423,-1.5566315789473684,-350.9156666666667,-0.9573333333333335,-17.486333333333334,351.4066666666667,,58408.63333333333,-1
2014-02-15 00:50:00,4.146888888888889,-0.3125,3.371388888888889,-1.9443333333333332,-348.4028,9.2626,-20.3588,349.27200000000005,,54876.98,-1
2014-02-15 00:55:00,4.018789473684211,-0.282,3.4992105263157893,-1.6669473684210527,-346.0602,17.660400000000003,-21.0108,347.274,,62195.53999999999,-1
2014-02-15 01:00:00,3.8571578947368423,-0.2256315789473684,3.685684210526316,-1.0121578947368421,-347.08425,15.25125,-19.480999999999998,348.1375,,56446.425,-2
2014-02-15 01:05:00,3.7759473684210523,-0.2645789473684211,3.6979473684210524,-0.5501578947368421,-348.65659999999997,8.2382,-18.656200000000002,349.378,,55583.36,-2
2014-02-15 01:10:00,3.3096111111111113,-1.0315,2.9868333333333332,0.2791666666666667,-345.6596,7.300200000000001,-24.2954,346.81,,61921.92,-2
2014-02-15 01:15:00,3.5405263157894735,-2.359,1.8178947368421052,1.151,-339.549,14.85075,-28.6755,341.40999999999997,,78166.825,-2
2014-02-15 01:20:00,3.571578947368421,-3.2446315789473688,1.0235789473684211,1.0416842105263158,-343.519,25.61575,-28.91525,345.8825,,78003.875,-2
2014-02-15 01:25:00,3.6998947368421056,-3.388842105263158,1.3766315789473684,0.3381578947368421,-341.9652,25.559800000000003,-24.7816,344.008,,95046.96,-3
2014-02-15 01:30:00,3.8074444444444446,-3.5617777777777775,1.1891666666666667,0.5186111111111111,-344.157,29.3185,-25.224,346.525,,93626.15,-3
2014-02-15 01:35:00,3.8030000000000004,-3.669157894736842,0.6179473684210526,0.28789473684210526,-352.2824,31.093200000000003,-23.770599999999998,354.656,,69455.58,-4
2014-02-15 01:40:00,3.777578947368421,-3.5206842105263156,1.2433157894736844,-0.11689473684210527,-343.63739999999996,28.768,-22.6402,345.79,,74206.475,-4
2014-02-15 01:45:00,3.6222105263157895,-3.5305789473684213,0.5129473684210527,-0.4789999999999999,-345.94825000000003,32.080749999999995,-22.035249999999998,348.3425,,75134.575,-4
2014-02-15 01:50:00,3.8744444444444444,-3.2804444444444445,1.8427222222222224,-0.4613333333333334,-351.64175,36.185249999999996,-22.962,354.48,,63786.6,-4
2014-02-15 01:55:00,3.7767894736842105,-3.4586315789473683,1.403578947368421,-0.2135263157894737,-348.1722,34.8786,-21.209600000000002,350.798,,63610.280000000006,-4
2014-02-15 02:00:00,3.600842105263158,-3.401736842105263,0.5344210526315789,0.3236315789473684,-341.3254,31.585199999999997,-25.9022,344.04200000000003,,86027.08,-4
2014-02-15 02:05:00,3.9402631578947367,-2.2236315789473684,1.890315789473684,2.065263157894737,-344.15575,17.0955,-29.84,346.185,,74095.425,-4
2014-02-15 02:10:00,4.019444444444444,-2.3928333333333334,1.6292777777777776,2.6089444444444445,-340.1806,22.5946,-33.567,342.88800000000003,,85403.72,-4
2014-02-15 02:15:00,4.205631578947369,-2.746052631578947,2.9912105263157893,0.06294736842105263,-344.7598,21.458800000000004,-23.4848,346.502,,88122.04000000001,-4
2014-02-15 02:20:00,4.6186842105263155,-0.898,2.417684210526316,-0.5906842105263158,-350.60375,28.947750000000003,-25.72275,353.1325,,73365.05,-5
2014-02-15 02:25:00,4.397,-2.9764736842105264,0.09742105263157892,3.0785789473684213,-340.6565,34.710499999999996,-33.905,344.485,,92638.45,-5
2014-02-15 02:30:00,4.252888888888888,-1.3408333333333333,1.901166666666667,2.774888888888889,-348.846,18.3654,-32.3444,351.382,,77294.72,-5
2014-02-15 02:35:00,4.760315789473684,-0.39457894736842103,3.2083684210526315,3.0655263157894734,-349.28925000000004,10.31475,-32.94775,351.3075,,61287.975000000006,-5
2014-02-15 02:40:00,5.015736842105263,-1.700684210526316,2.5299473684210527,3.9562105263157896,-346.191,18.866,-34.539,348.726,,66333.18000000001,-5
2014-02-15 02:45:00,4.528842105263158,-2.332315789473684,2.0461578947368424,3.2351052631578945,-344.4908,31.1166,-31.102800000000002,347.646,,80066.58,-5
