datetime,SYM_H
2015-05-09 14:30:00,20
2015-05-09 14:35:00,19
2015-05-09 14:40:00,18
2015-05-09 14:45:00,18
2015-05-09 14:50:00,18
2015-05-09 14:55:00,18
2015-05-09 15:00:00,18
2015-05-09 15:05:00,17
2015-05-09 15:10:00,18
2015-05-09 15:15:00,17
2015-05-09 15:20:00,16
2015-05-09 15:25:00,17
2015-05-09 15:30:00,18
2015-05-09 15:35:00,17
2015-05-09 15:40:00,12
2015-05-09 15:45:00,8
2015-05-09 15:50:00,5
2015-05-09 15:55:00,1
2015-05-09 16:00:00,-1
2015-05-09 16:05:00,-1
2015-05-09 16:10:00,-1
2015-05-09 16:15:00,-2
2015-05-09 16:20:00,-2
2015-05-09 16:25:00,-2
2015-05-09 16:30:00,0
2015-05-09 16:35:00,7
2015-05-09 16:40:00,12
2015-05-09 16:45:00,11
2015-05-09 16:50:00,10
2015-05-09 16:55:00,9
2015-05-09 17:00:00,11
2015-05-09 17:05:00,12
2015-05-09 17:10:00,13
2015-05-09 17:15:00,13
2015-05-09 17:20:00,14
2015-05-09 17:25:00,14
2015-05-09 17:30:00,15
2015-05-09 17:35:00,15
2015-05-09 17:40:00,15
2015-05-09 17:45:00,13
2015-05-09 17:50:00,12
2015-05-09 17:55:00,12
2015-05-09 18:00:00,13
2015-05-09 18:05:00,13
2015-05-09 18:10:00,14
2015-05-09 18:15:00,13
2015-05-09 18:20:00,12
2015-05-09 18:25:00,11
2015-05-09 18:30:00,10
2015-05-09 18:35:00,12
2015-05-09 18:40:00,13
2015-05-09 18:45:00,12
2015-05-09 18:50:00,11
2015-05-09 18:55:00,8
2015-05-09 19:00:00,7
2015-05-09 19:05:00,8
2015-05-09 19:10:00,1
2015-05-09 19:15:00,-6
2015-05-09 19:20:00,-6
2015-05-09 19:25:00,-6
2015-05-09 19:30:00,-6
2015-05-09 19:35:00,-6
2015-05-09 19:40:00,-5
2015-05-09 19:45:00,-2
2015-05-09 19:50:00,1
2015-05-09 19:55:00,0
2015-05-09 20:00:00,-3
2015-05-09 20:05:00,-5
2015-05-09 20:10:00,-1
2015-05-09 20:15:00,4
2015-05-09 20:20:00,7
2015-05-09 20:25:00,7
2015-05-09 20:30:00,8
2015-05-09 20:35:00,13
2015-05-09 20:40:00,14
2015-05-09 20:45:00,14
2015-05-09 20:50:00,12
2015-05-09 20:55:00,11
2015-05-09 21:00:00,12
2015-05-09 21:05:00,12
2015-05-09 21:10:00,12
2015-05-09 21:15:00,10
2015-05-09 21:20:00,9
2015-05-09 21:25:00,9
2015-05-09 21:30:00,7
2015-05-09 21:35:00,7
2015-05-09 21:40:00,6
2015-05-09 21:45:00,3
2015-05-09 21:50:00,-7
2015-05-09 21:55:00,-10
2015-05-09 22:00:00,-9
2015-05-09 22:05:00,-10
2015-05-09 22:10:00,-11
2015-05-09 22:15:00,-9
2015-05-09 22:20:00,-8
2015-05-09 22:25:00,-6
2015-05-09 22:30:00,-5
2015-05-09 22:35:00,-4
2015-05-09 22:40:00,-2
2015-05-09 22:45:00,-2
2015-05-09 22:50:00,-2
2015-05-09 22:55:00,-1
2015-05-09 23:00:00,0
2015-05-09 23:05:00,1
2015-05-09 23:10:00,1
2015-05-09 23:15:00,3
2015-05-09 23:20:00,4
2015-05-09 23:25:00,3
2015-05-09 23:30:00,2
2015-05-09 23:35:00,3
2015-05-09 23:40:00,3
2015-05-09 23:45:00,3
2015-05-09 23:50:00,3
2015-05-09 23:55:00,3
2015-05-10 00:00:00,3
2015-05-10 00:05:00,4
2015-05-10 00:10:00,4
2015-05-10 00:15:00,5
2015-05-10 00:20:00,6
2015-05-10 00:25:00,6
2015-05-10 00:30:00,5
2015-05-10 00:35:00,4
2015-05-10 00:40:00,5
2015-05-10 00:45:00,5
2015-05-10 00:50:00,6
2015-05-10 00:55:00,6
2015-05-10 01:00:00,6
2015-05-10 01:05:00,6
2015-05-10 01:10:00,6
2015-05-10 01:15:00,6
2015-05-10 01:20:00,6
2015-05-10 01:25:00,7
2015-05-10 01:30:00,8
2015-05-10 01:35:00,8
