datetime,Magnitude,BGSM_X,BGSM_Y,BGSM_Z
2000-11-23 00:00:04,4.188,-3.788,1.454,-0.984
2000-11-23 00:00:19,4.28,-3.923,1.135,-1.272
2000-11-23 00:00:35,4.254,-3.821,1.356,-1.269
2000-11-23 00:00:51,4.297,-3.844,1.423,-1.256
2000-11-23 00:01:07,4.321,-3.686,1.719,-1.449
2000-11-23 00:01:23,4.191,-3.759,1.478,-1.09
2000-11-23 00:01:39,4.302,-3.93,1.547,-0.799
2000-11-23 00:01:55,4.165,-3.899,1.396,0.12
2000-11-23 00:02:11,4.193,-3.871,1.355,-0.629
2000-11-23 00:02:27,4.229,-3.918,1.343,-0.83
2000-11-23 00:02:43,4.131,-3.845,1.343,-0.559
2000-11-23 00:02:59,4.146,-3.732,1.758,-0.225
2000-11-23 00:03:15,4.203,-3.613,1.868,-0.804
2000-11-23 00:03:31,4.15,-3.551,1.881,-0.777
2000-11-23 00:03:47,4.135,-3.641,1.769,-0.819
2000-11-23 00:04:03,4.136,-3.777,1.567,-0.576
2000-11-23 00:04:19,4.205,-3.679,1.865,-0.774
2000-11-23 00:04:35,4.312,-3.699,2.068,-0.769
2000-11-23 00:04:51,4.265,-3.478,2.284,-0.908
2000-11-23 00:05:07,4.219,-3.291,2.507,-0.779
2000-11-23 00:05:23,4.219,-3.464,2.297,-0.696
2000-11-23 00:05:39,4.194,-3.461,2.241,-0.744
2000-11-23 00:05:55,4.231,-3.364,2.448,-0.742
2000-11-23 00:06:11,4.24,-3.479,2.328,-0.647
2000-11-23 00:06:27,4.194,-3.101,2.748,-0.61
2000-11-23 00:06:43,4.225,-3.15,2.749,-0.571
2000-11-23 00:06:59,4.167,-3.108,2.714,-0.453
2000-11-23 00:07:15,4.159,-3.237,2.554,-0.478
2000-11-23 00:07:31,4.123,-3.225,2.443,-0.698
2000-11-23 00:07:47,4.12,-3.136,2.537,-0.813
2000-11-23 00:08:03,4.148,-3.234,2.464,-0.794
2000-11-23 00:08:19,4.187,-3.236,2.535,-0.754
2000-11-23 00:08:35,4.139,-3.085,2.693,-0.521
2000-11-23 00:08:51,4.084,-2.886,2.85,-0.45
2000-11-23 00:09:07,4.092,-2.694,3.053,-0.361
2000-11-23 00:09:23,4.186,-2.862,3.035,0.08
2000-11-23 00:09:39,4.358,-3.093,3.04,-0.403
2000-11-23 00:09:55,4.354,-2.968,3.056,-0.778
2000-11-23 00:10:11,4.18,-2.906,2.767,-1.093
2000-11-23 00:10:27,4.251,-2.95,2.83,-1.109
2000-11-23 00:10:43,4.322,-3.168,2.639,-1.168
2000-11-23 00:10:59,4.477,-3.706,2.293,-1.013
2000-11-23 00:11:15,4.408,-3.72,2.17,-0.906
2000-11-23 00:11:31,4.531,-3.952,2.101,-0.617
2000-11-23 00:11:47,4.415,-3.626,2.357,-0.582
2000-11-23 00:12:03,4.536,-2.493,3.716,-0.622
2000-11-23 00:12:19,4.444,-1.969,3.932,-0.413
2000-11-23 00:12:35,4.475,-0.793,4.337,-0.673
