datetime,SYM_H
2016-01-16 00:00:00,-9
2016-01-16 00:05:00,-9
2016-01-16 00:10:00,-9
2016-01-16 00:15:00,-9
2016-01-16 00:20:00,-8
2016-01-16 00:25:00,-9
2016-01-16 00:30:00,-9
2016-01-16 00:35:00,-9
2016-01-16 00:40:00,-9
2016-01-16 00:45:00,-10
2016-01-16 00:50:00,-10
2016-01-16 00:55:00,-10
2016-01-16 01:00:00,-10
2016-01-16 01:05:00,-10
2016-01-16 01:10:00,-10
2016-01-16 01:15:00,-10
2016-01-16 01:20:00,-10
2016-01-16 01:25:00,-10
2016-01-16 01:30:00,-10
2016-01-16 01:35:00,-9
2016-01-16 01:40:00,-9
2016-01-16 01:45:00,-9
2016-01-16 01:50:00,-9
2016-01-16 01:55:00,-9
2016-01-16 02:00:00,-9
2016-01-16 02:05:00,-8
2016-01-16 02:10:00,-8
2016-01-16 02:15:00,-9
2016-01-16 02:20:00,-9
2016-01-16 02:25:00,-9
2016-01-16 02:30:00,-9
2016-01-16 02:35:00,-8
2016-01-16 02:40:00,-8
2016-01-16 02:45:00,-8
2016-01-16 02:50:00,-7
2016-01-16 02:55:00,-8
2016-01-16 03:00:00,-8
2016-01-16 03:05:00,-7
2016-01-16 03:10:00,-6
2016-01-16 03:15:00,-5
2016-01-16 03:20:00,-4
2016-01-16 03:25:00,-4
2016-01-16 03:30:00,-4
2016-01-16 03:35:00,-4
2016-01-16 03:40:00,-4
2016-01-16 03:45:00,-4
2016-01-16 03:50:00,-4
2016-01-16 03:55:00,-4
2016-01-16 04:00:00,-4
2016-01-16 04:05:00,-4
2016-01-16 04:10:00,-3
2016-01-16 04:15:00,-2
2016-01-16 04:20:00,-2
2016-01-16 04:25:00,-2
2016-01-16 04:30:00,-3
2016-01-16 04:35:00,-2
2016-01-16 04:40:00,-1
2016-01-16 04:45:00,-1
2016-01-16 04:50:00,-2
2016-01-16 04:55:00,-2
2016-01-16 05:00:00,-2
2016-01-16 05:05:00,0
2016-01-16 05:10:00,0
2016-01-16 05:15:00,0
2016-01-16 05:20:00,0
2016-01-16 05:25:00,0
2016-01-16 05:30:00,-1
2016-01-16 05:35:00,-1
2016-01-16 05:40:00,-1
2016-01-16 05:45:00,-1
2016-01-16 05:50:00,-1
2016-01-16 05:55:00,-1
