datetime,Magnitude,BGSM_X,BGSM_Y,BGSM_Z
2015-12-16 00:00:11,8.127,3.411,-5.112,-5.314
2015-12-16 00:00:27,8.11,3.208,-5.651,-4.826
2015-12-16 00:00:43,7.952,3.629,-4.892,-5.056
2015-12-16 00:00:59,8.052,3.541,-5.522,-4.639
2015-12-16 00:01:15,8.083,3.218,-5.983,-4.366
2015-12-16 00:01:31,8.022,3.255,-5.444,-4.806
2015-12-16 00:01:47,7.991,3.869,-5.288,-4.551
2015-12-16 00:02:03,8.053,3.641,-5.532,-4.566
2015-12-16 00:02:19,8.039,4.081,-4.998,-4.759
2015-12-16 00:02:35,8.006,3.693,-5.536,-4.412
2015-12-16 00:02:51,8.037,3.759,-5.538,-4.254
2015-12-16 00:03:07,7.96,3.529,-4.98,-4.999
2015-12-16 00:03:23,7.947,4.003,-5.175,-4.396
2015-12-16 00:03:39,7.991,4.231,-5.609,-3.737
2015-12-16 00:03:55,7.983,4.653,-5.133,-3.928
2015-12-16 00:04:11,7.971,4.957,-4.76,-3.977
2015-12-16 00:04:27,8.078,5.039,-4.925,-3.941
2015-12-16 00:04:43,7.998,4.325,-5.316,-4.099
2015-12-16 00:04:59,8.097,3.458,-5.784,-4.48
2015-12-16 00:05:15,8.066,3.941,-5.322,-4.584
2015-12-16 00:05:31,7.999,3.964,-5.302,-4.475
2015-12-16 00:05:47,7.981,4.028,-5.468,-4.185
2015-12-16 00:06:03,8.003,3.915,-5.681,-4.047
2015-12-16 00:06:19,8.024,3.407,-5.961,-4.13
2015-12-16 00:06:35,8.015,3.497,-5.941,-4.076
2015-12-16 00:06:51,8.053,3.738,-5.764,-4.164
2015-12-16 00:07:07,7.944,3.486,-5.904,-3.955
2015-12-16 00:07:23,7.881,3.579,-5.539,-4.297
2015-12-16 00:07:39,7.849,1.676,-6.496,-3.879
2015-12-16 00:07:55,7.808,2.204,-5.756,-4.638
2015-12-16 00:08:11,7.867,2.252,-6.091,-4.353
2015-12-16 00:08:27,7.87,2.29,-5.4,-5.113
2015-12-16 00:08:43,7.846,2.868,-5.034,-5.162
2015-12-16 00:08:59,7.857,2.435,-5.616,-4.825
2015-12-16 00:09:15,7.778,1.36,-5.8,-4.891
2015-12-16 00:09:31,7.632,0.775,-5.939,-4.621
2015-12-16 00:09:47,7.88,3.091,-5.752,-4.355
2015-12-16 00:10:03,7.728,3.592,-5.187,-3.567
2015-12-16 00:10:19,7.734,4.646,-4.918,-3.482
2015-12-16 00:10:35,7.766,4.37,-5.27,-3.534
2015-12-16 00:10:51,7.748,4.012,-6.291,-1.455
2015-12-16 00:11:07,7.748,3.794,-6.093,-1.981
2015-12-16 00:11:23,7.847,3.816,-6.285,-2.501
2015-12-16 00:11:39,7.91,5.44,-4.622,-3.299
2015-12-16 00:11:55,7.856,6.18,-3.593,-3.245
2015-12-16 00:12:11,7.914,6.355,-3.744,-2.843
2015-12-16 00:12:27,7.808,6.547,-3.7,-2.061
2015-12-16 00:12:43,7.872,6.467,-4.182,-1.56
2015-12-16 00:12:59,7.93,5.725,-4.951,-2.095
2015-12-16 00:13:15,7.855,5.562,-5.093,-1.997
2015-12-16 00:13:31,7.901,6.299,-4.457,-1.582
2015-12-16 00:13:47,8.047,6.621,-4.23,-1.707
2015-12-16 00:14:03,8.073,5.966,-4.258,-3.317
2015-12-16 00:14:19,7.998,5.258,-4.187,-4.307
2015-12-16 00:14:35,7.94,5.258,-3.847,-4.52
2015-12-16 00:14:51,7.977,5.198,-3.63,-4.817
2015-12-16 00:15:07,7.937,5.242,-3.544,-4.77
2015-12-16 00:15:23,7.907,5.563,-3.681,-4.231
2015-12-16 00:15:39,7.937,5.909,-3.461,-3.967
2015-12-16 00:15:55,7.898,5.48,-4.609,-3.238
2015-12-16 00:16:11,7.91,5.181,-5.01,-3.217
2015-12-16 00:16:27,7.844,4.973,-5.025,-3.36
2015-12-16 00:16:43,7.867,4.841,-5.559,-2.644
2015-12-16 00:16:59,7.898,4.74,-5.914,-2.085
2015-12-16 00:17:15,7.883,4.552,-6.298,-0.107
2015-12-16 00:17:31,7.814,4.05,-6.585,0.868
2015-12-16 00:17:47,7.795,3.473,-6.208,2.885
2015-12-16 00:18:03,7.789,3.274,-6.436,2.9
2015-12-16 00:18:19,7.911,3.839,-6.528,1.941
2015-12-16 00:18:35,7.922,4.913,-5.091,-3.463
2015-12-16 00:18:51,8.002,5.575,-3.582,-4.394
2015-12-16 00:19:07,8.118,4.902,-4.526,-4.62
2015-12-16 00:19:23,8.078,4.714,-4.64,-4.636
2015-12-16 00:19:39,8.07,4.82,-4.468,-4.678
2015-12-16 00:19:55,8.06,4.655,-4.512,-4.779
2015-12-16 00:20:11,8.088,4.522,-4.671,-4.809
2015-12-16 00:20:27,8.214,4.746,-4.831,-4.646
2015-12-16 00:20:43,8.344,4.728,-5.122,-4.584
2015-12-16 00:20:59,8.397,4.771,-5.056,-4.708
2015-12-16 00:21:15,8.394,4.783,-5.104,-4.639
2015-12-16 00:21:31,8.454,4.829,-5.171,-4.625
2015-12-16 00:21:47,8.433,4.754,-5.148,-4.69
2015-12-16 00:22:03,8.41,4.64,-4.914,-5.004
2015-12-16 00:22:19,8.433,4.645,-4.84,-5.108
2015-12-16 00:22:35,8.411,4.687,-4.64,-5.217
2015-12-16 00:22:51,8.417,4.895,-4.392,-5.25
2015-12-16 00:23:07,8.385,4.871,-4.253,-5.334
2015-12-16 00:23:23,8.358,4.758,-4.266,-5.383
2015-12-16 00:23:39,8.327,4.544,-4.543,-5.288
2015-12-16 00:23:55,8.325,4.274,-4.621,-5.447
2015-12-16 00:24:11,8.342,4.098,-4.711,-5.529
2015-12-16 00:24:27,8.261,4.047,-4.591,-5.547
2015-12-16 00:24:43,8.276,4.06,-4.545,-5.598
2015-12-16 00:24:59,8.281,3.907,-4.593,-5.673
2015-12-16 00:25:15,8.28,3.56,-4.548,-5.884
2015-12-16 00:25:31,8.325,3.159,-3.628,-6.789
2015-12-16 00:25:47,8.355,3.099,-3.738,-6.771
2015-12-16 00:26:03,8.386,3.409,-4.349,-6.307
2015-12-16 00:26:19,8.417,3.619,-4.235,-6.308
2015-12-16 00:26:35,8.412,3.568,-4.375,-6.234
