datetime,SYM_H
1999-10-18 00:00:00,-18
1999-10-18 00:05:00,-18
1999-10-18 00:10:00,-19
1999-10-18 00:15:00,-19
1999-10-18 00:20:00,-18
1999-10-18 00:25:00,-18
1999-10-18 00:30:00,-20
1999-10-18 00:35:00,-20
1999-10-18 00:40:00,-19
1999-10-18 00:45:00,-18
1999-10-18 00:50:00,-17
1999-10-18 00:55:00,-17
1999-10-18 01:00:00,-18
1999-10-18 01:05:00,-19
1999-10-18 01:10:00,-19
1999-10-18 01:15:00,-20
1999-10-18 01:20:00,-21
1999-10-18 01:25:00,-20
1999-10-18 01:30:00,-19
1999-10-18 01:35:00,-19
1999-10-18 01:40:00,-19
1999-10-18 01:45:00,-19
1999-10-18 01:50:00,-17
1999-10-18 01:55:00,-17
1999-10-18 02:00:00,-17
1999-10-18 02:05:00,-16
1999-10-18 02:10:00,-17
1999-10-18 02:15:00,-16
1999-10-18 02:20:00,-16
1999-10-18 02:25:00,-15
1999-10-18 02:30:00,-15
1999-10-18 02:35:00,-15
1999-10-18 02:40:00,-15
1999-10-18 02:45:00,-15
1999-10-18 02:50:00,-14
1999-10-18 02:55:00,-15
1999-10-18 03:00:00,-15
1999-10-18 03:05:00,-14
1999-10-18 03:10:00,-14
1999-10-18 03:15:00,-14
1999-10-18 03:20:00,-15
1999-10-18 03:25:00,-14
1999-10-18 03:30:00,-14
1999-10-18 03:35:00,-14
1999-10-18 03:40:00,-14
1999-10-18 03:45:00,-13
1999-10-18 03:50:00,-13
1999-10-18 03:55:00,-12
1999-10-18 04:00:00,-12
1999-10-18 04:05:00,-12
1999-10-18 04:10:00,-12
1999-10-18 04:15:00,-12
1999-10-18 04:20:00,-11
1999-10-18 04:25:00,-11
1999-10-18 04:30:00,-11
1999-10-18 04:35:00,-11
1999-10-18 04:40:00,-11
1999-10-18 04:45:00,-12
1999-10-18 04:50:00,-13
1999-10-18 04:55:00,-12
1999-10-18 05:00:00,-13
1999-10-18 05:05:00,-13
1999-10-18 05:10:00,-13
1999-10-18 05:15:00,-13
1999-10-18 05:20:00,-13
1999-10-18 05:25:00,-12
1999-10-18 05:30:00,-12
1999-10-18 05:35:00,-12
1999-10-18 05:40:00,-12
1999-10-18 05:45:00,-11
1999-10-18 05:50:00,-11
1999-10-18 05:55:00,-10
1999-10-18 06:00:00,-9
1999-10-18 06:05:00,-10
1999-10-18 06:10:00,-9
1999-10-18 06:15:00,-9
1999-10-18 06:20:00,-9
1999-10-18 06:25:00,-8
1999-10-18 06:30:00,-7
1999-10-18 06:35:00,-7
1999-10-18 06:40:00,-7
1999-10-18 06:45:00,-7
1999-10-18 06:50:00,-7
1999-10-18 06:55:00,-7
1999-10-18 07:00:00,-7
1999-10-18 07:05:00,-7
1999-10-18 07:10:00,-7
1999-10-18 07:15:00,-7
1999-10-18 07:20:00,-8
1999-10-18 07:25:00,-8
1999-10-18 07:30:00,-7
1999-10-18 07:35:00,-7
1999-10-18 07:40:00,-7
1999-10-18 07:45:00,-8
1999-10-18 07:50:00,-8
1999-10-18 07:55:00,-8
1999-10-18 08:00:00,-9
1999-10-18 08:05:00,-9
1999-10-18 08:10:00,-9
1999-10-18 08:15:00,-9
1999-10-18 08:20:00,-9
1999-10-18 08:25:00,-9
1999-10-18 08:30:00,-9
1999-10-18 08:35:00,-10
1999-10-18 08:40:00,-10
1999-10-18 08:45:00,-9
1999-10-18 08:50:00,-9
1999-10-18 08:55:00,-9
1999-10-18 09:00:00,-9
1999-10-18 09:05:00,-9
1999-10-18 09:10:00,-9
1999-10-18 09:15:00,-9
1999-10-18 09:20:00,-9
1999-10-18 09:25:00,-9
1999-10-18 09:30:00,-9
1999-10-18 09:35:00,-10
1999-10-18 09:40:00,-10
1999-10-18 09:45:00,-9
1999-10-18 09:50:00,-9
1999-10-18 09:55:00,-9
1999-10-18 10:00:00,-9
1999-10-18 10:05:00,-9
1999-10-18 10:10:00,-9
1999-10-18 10:15:00,-8
1999-10-18 10:20:00,-8
1999-10-18 10:25:00,-7
1999-10-18 10:30:00,-7
1999-10-18 10:35:00,-6
1999-10-18 10:40:00,-6
1999-10-18 10:45:00,-8
1999-10-18 10:50:00,-9
1999-10-18 10:55:00,-10
1999-10-18 11:00:00,-11
1999-10-18 11:05:00,-11
1999-10-18 11:10:00,-9
1999-10-18 11:15:00,-9
1999-10-18 11:20:00,-9
1999-10-18 11:25:00,-10
1999-10-18 11:30:00,-11
1999-10-18 11:35:00,-10
1999-10-18 11:40:00,-10
1999-10-18 11:45:00,-10
1999-10-18 11:50:00,-10
1999-10-18 11:55:00,-9
1999-10-18 12:00:00,-10
1999-10-18 12:05:00,-11
1999-10-18 12:10:00,-12
1999-10-18 12:15:00,-13
1999-10-18 12:20:00,-13
1999-10-18 12:25:00,-14
1999-10-18 12:30:00,-13
1999-10-18 12:35:00,-13
1999-10-18 12:40:00,-11
1999-10-18 12:45:00,-10
1999-10-18 12:50:00,-12
1999-10-18 12:55:00,-12
1999-10-18 13:00:00,-11
1999-10-18 13:05:00,-11
1999-10-18 13:10:00,-11
1999-10-18 13:15:00,-11
1999-10-18 13:20:00,-10
1999-10-18 13:25:00,-10
1999-10-18 13:30:00,-10
1999-10-18 13:35:00,-8
1999-10-18 13:40:00,-8
1999-10-18 13:45:00,-8
1999-10-18 13:50:00,-8
1999-10-18 13:55:00,-7
1999-10-18 14:00:00,-7
1999-10-18 14:05:00,-8
1999-10-18 14:10:00,-8
1999-10-18 14:15:00,-7
1999-10-18 14:20:00,-6
1999-10-18 14:25:00,-7
1999-10-18 14:30:00,-7
1999-10-18 14:35:00,-8
1999-10-18 14:40:00,-8
1999-10-18 14:45:00,-8
1999-10-18 14:50:00,-7
1999-10-18 14:55:00,-7
1999-10-18 15:00:00,-8
1999-10-18 15:05:00,-9
1999-10-18 15:10:00,-9
1999-10-18 15:15:00,-9
1999-10-18 15:20:00,-9
